Tanzania,Dar es Salaam,-6.49,39.16
Thailand,Bangkok,13.75,100.52
Timor-Leste,Dili,-8.58,125.6
Togo,Lome,6.14,1.21
Tonga,Nuku'alofa,-21.13,-175.2
Trinidad and Tobago,Port of Spain,10.65,-61.52
Tunisia,Tunis,36.8,10.18
Turkey,Ankara,39.93,32.87
Turkmenistan,Ashgabat,37.95,58.38
Tuvalu,Funafuti,-8.52,179.22
Uganda,Kampala,0.32,32.55
Ukraine,Kyiv,50.43,30.52
UAE,Abu Dhabi,24.47,54.37
UK,London,51.5,-0.08
USA,"Washington, D.C.",38.89,-77.05
USA,New York,40.43,-74.00
USA,Chicago,41.54,-87.39
USA,Atlanta,33.45,-84.23
USA,Houston,29.46,-95.23
USA,Phoenix,33.32,-112.05
USA,Los Angeles,34.03,-118.15
USA,Denver,39.44,-104.59
Uruguay,Montevideo,-34.85,-56.17
Uzbekistan,Tashkent,41.32,69.25
Vanuatu,Port Vila,-17.73,168.32
Venezuela,Caracas,10.48,-66.87
Vietnam,Hanoi,21.03,105.85
Yemen,Sanaa,15.37,44.19
Zambia,Lusaka,-15.42,28.28
Zimbabwe,Harare,-17.82,31.03
